Heating system gas consumption [Nm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system DH consumption [Wh];Heating system electric consumption [Wh];Cooling system electric consumption [Wh];AHU electric consumption [Wh];Appliances electric consumption [Wh];TZ Ta [°C];TZ To [°C];TZ Tmr [°C];TZ RH [-];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ AHU electric load [W];TZ DHW volume flow rate [L/s];TZ DHW demand [W]
Bd Bd Building 0018300003;Bd Bd Building 0018300003;Bd Bd Building 0018300003;Bd Bd Building 0018300003;Bd Bd Building 0018300003;Bd Bd Building 0018300003;Bd Bd Building 0018300003;Bd Bd Building 0018300003;Bd Bd Building 0018300003;Bd Building 0018300003 thermal zone;Bd Building 0018300003 thermal zone;Bd Building 0018300003 thermal zone;Bd Building 0018300003 thermal zone;Bd Building 0018300003 thermal zone;Bd Building 0018300003 thermal zone;Bd Building 0018300003 thermal zone;Bd Building 0018300003 thermal zone;Bd Building 0018300003 thermal zone;Bd Building 0018300003 thermal zone;Bd Building 0018300003 thermal zone
0.00;0.00;0.00;0.00;0.00;0.00;0.00;15752.76;0.00;22.00;21.38;20.75;0.62;46605.59;0.00;112440.64;87000.79;15752.76;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;15752.76;0.00;22.00;21.37;20.74;0.63;46890.10;0.00;115969.48;87000.79;15752.76;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;15752.76;0.00;22.00;21.37;20.74;0.63;47130.41;0.00;119466.41;87000.79;15752.76;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;15752.76;0.00;22.00;21.37;20.73;0.62;47501.33;0.00;129760.66;87000.79;15752.76;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;15752.76;0.00;22.00;21.36;20.73;0.62;47712.86;0.00;133116.38;87000.79;15752.76;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;15752.76;0.00;22.00;21.36;20.73;0.62;47828.67;0.00;133017.94;87000.79;15752.76;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;15752.76;0.00;22.00;21.36;20.72;0.62;47924.30;0.00;133142.17;87000.79;15752.76;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;15752.76;14210.88;23.58;22.46;21.34;0.68;0.00;0.00;133142.17;87000.79;15752.76;0.11;14533.82
0.00;0.00;0.00;0.00;0.00;0.00;0.00;15752.76;14210.88;23.77;22.66;21.54;0.68;0.00;0.00;120111.53;87000.79;15752.76;0.11;14533.82
0.00;0.00;0.00;0.00;0.00;0.00;0.00;15752.76;14210.88;23.89;22.81;21.73;0.68;0.00;0.00;116817.68;87000.79;15752.76;0.11;14533.82
0.00;0.00;0.00;0.00;0.00;0.00;0.00;15752.76;14210.88;24.00;22.96;21.91;0.67;0.00;0.00;114272.76;87000.79;15752.76;0.11;14533.82
0.00;0.00;0.00;0.00;0.00;0.00;0.00;15752.76;14210.88;24.11;23.10;22.08;0.67;0.00;0.00;113475.69;87000.79;15752.76;0.11;14533.82
0.00;0.00;0.00;0.00;0.00;0.00;0.00;15752.76;14210.88;22.90;22.34;21.79;0.66;0.00;0.00;111232.51;87000.79;15752.76;0.05;7266.91
0.00;0.00;0.00;0.00;0.00;0.00;0.00;15752.76;14210.88;22.85;22.33;21.81;0.66;0.00;0.00;116461.31;87000.79;15752.76;0.05;7266.91
0.00;0.00;0.00;0.00;0.00;0.00;0.00;15752.76;14210.88;22.86;22.35;21.83;0.66;0.00;0.00;113353.80;87000.79;15752.76;0.05;7266.91
0.00;0.00;0.00;0.00;0.00;0.00;0.00;15752.76;14210.88;22.87;22.36;21.85;0.66;0.00;0.00;109771.42;87000.79;15752.76;0.05;7266.91
0.00;0.00;0.00;0.00;0.00;0.00;0.00;15752.76;14210.88;22.88;22.37;21.86;0.66;0.00;0.00;107709.04;87000.79;15752.76;0.05;7266.91
0.00;0.00;0.00;0.00;0.00;0.00;0.00;15752.76;0.00;22.00;21.74;21.49;0.63;24507.23;0.00;109547.04;87000.79;15752.76;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;15752.76;0.00;22.00;21.71;21.43;0.63;28366.42;0.00;119510.69;87000.79;15752.76;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;15752.76;0.00;22.00;21.68;21.36;0.63;29951.70;0.00;119510.69;87000.79;15752.76;0.00;0.00
